event_id,user_id,movie_id,movie_title,genre,session_id,event_type,event_timestamp,position_sec,segment_index,duration_sec,session_seq,total_sessions,device,tag_value,value
1863976,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,session_start,1996-06-06T13:25:59.809467+00:00,0.0,,7409,1,1,mobile,,
1863977,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:26:40.280777+00:00,0.0,0.0,7409,1,1,mobile,,
1863978,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,segment_watch,1996-06-06T13:28:25.601565+00:00,177.1,0.0,7409,1,1,mobile,,
1863979,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:30:03.245549+00:00,177.1,0.0,7409,1,1,mobile,,
1863980,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:31:43.967148+00:00,177.1,0.0,7409,1,1,mobile,,
1863981,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:32:26.610293+00:00,177.1,0.0,7409,1,1,mobile,,
1863982,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:33:16.427832+00:00,177.1,0.0,7409,1,1,mobile,,
1863983,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:33:45.834397+00:00,177.1,0.0,7409,1,1,mobile,,
1863984,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,seek_forward,1996-06-06T13:34:12.164113+00:00,692.6,3.0,7409,1,1,mobile,,
1863985,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,segment_watch,1996-06-06T13:36:54.493214+00:00,860.2,4.0,7409,1,1,mobile,,
1863986,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,segment_watch,1996-06-06T13:38:31.888774+00:00,1053.4,5.0,7409,1,1,mobile,,
1863987,3236,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,u3236-m750-s1,pause,1996-06-06T13:42:52.253049+00:00,1053.4,5.0,7409,1,1,mobile,,
